nom,arrondissement,id,id_uev,type,adresse,propriete,gestion,coord_x,coord_y,equipement,long,lat
Piscine Versailles,Pierrefonds-Roxborro,1,1,1,1,1,1,1,1,1,1,1
Piscine briarwood,Pierrefonds-Roxborro,1,1,1,1,1,1,1,1,1,1,1
Piscine du Vieux-Montréal,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Piscine du YMCA Centre-Ville,Ville-Marie,1,1,1,1,1,1,1,1,1,1,1
Piscine intérieure Roussin,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Piscine intérieure Saint-Henri,Le Sud-Ouest,1,1,1,1,1,1,1,1,1,1,1
Piscine intérieure de Saint-Léonard,Saint-Léonard,1,1,1,1,1,1,1,1,1,1,1
Piscine Émile-Legault,Saint-Laurent,1,1,1,1,1,1,1,1,1,1,1
Plage du cap Saint-Jacques,Pierrefonds-Roxborro,1,1,1,1,1,1,1,1,1,1,1
Port de Plaisance,Lachine,1,1,1,1,1,1,1,1,1,1,1
René-Goupil,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Saint-Jean-Baptiste,Rivière-des-Prairies–Pointe-aux-Trembles,1,1,1,1,1,1,1,1,1,1,1
Sophie-Barat,Ahuntsic-Cartierville,1,1,1,1,1,1,1,1,1,1,1
St-Roch,Villeray–Saint-Michel–Parc-Extension,1,1,1,1,1,1,1,1,1,1,1
Édouard-Montpetit,Mercier–Hochelaga-Maisonneuve,1,1,1,1,1,1,1,1,1,1,1
